reviews,food,price,place,service
"Despite being set in one of those large American style outdoor home centre  shopping malls, XS Espresso manages to maintain a funky vibe.",0,0,1,0
The other upside is that there is plenty of parking.,0,0,1,0
"Food is fresh and colourful, and yes, those freak shakes are as sweet and over the top as they appear on instagram.",1,0,0,0
My go to for açai bowls!,1,0,0,0
Much cheaper if you get it take away.,0,1,0,0
I like to get it without honey.,1,0,0,0
Lines can be long on the weekend so get in early or wait for a weekday!,0,0,0,-1
After a long awaited dining experience we decided to try XS as it was the talk of town for the past year.,0,0,0,0
We ordered breakfast meals for lunch and they were delicious.,1,0,0,0
"Of course, while you visit XS you have to try one of their shakes.",1,0,0,0
We ordered the one with a cronut and most of it seems like just a waste of food.,-1,0,0,0
"Mostly for decoration purposes rather than consumption, because sweetness is an understatement for how sweet the overall drink is.",-1,0,0,0
Did not see any customers finish any of their shakes at all.,-1,0,0,0
The shake is not the most appetizing.,-1,0,0,0
The shake itself is pretty to look at.,1,0,0,0
Customer service is basically nonexistent in this cafe as well.,0,0,0,-1
Desserts and drinks are good.,1,0,0,0
Other food is alright.,1,0,0,0
Services are quite bad.,0,0,0,-1
Staff just stood there chatting and ignored customers.,0,0,0,-1
"One waitress walked around, sipping a drink she made for herself while seating customers.",0,0,0,-1
I have never seen staff eating pastry while taking order behind counter elsewhere.,0,0,0,-1
The staff working at XS Espresso need a great deal of training in customer service.,0,0,0,-1
"Visited this place for dinner at a time when the cafe was not busy at all, and there were a few staff members waiting around with seemingly very little to do.",0,0,0,-1
The staff member who greeted us was unfriendly and seemed annoyed as if we were a complete inconvenience to her.,0,0,0,-1
"We were given the drinks menu and told the dinner menu would be given to us in a ""few minutes.""",0,0,0,-1
"This was fine, as we knew it was still early and they had just finished their lunch service for the day.",0,0,0,0
"However, 20 minutes went by and we still had not received the menus.",0,0,0,-1
"The waitress was too busy cleaning the floor for the entire time instead of attending to us, so we had to approach her to ask for the menus.",0,0,0,-1
"The food itself was fine (although there was no WOW factor), however the staff look so glum and uninviting that I won't be coming here again.",1,0,0,-1
"Your food and cutlery is dumped on the table, and no one bothers to check up on you to ask how your meal is.",0,0,0,-1
"Very poor customer service, this place is overhyped and would probably only appeal to those who come for an instagram snap.",0,0,-1,-1
The owner should probably consider hiring some new staff who actually look like they want to be there!,0,0,0,-1
